title,authors,year,subject,cover_url,filename,doc_id,dominant_color,surrogate_text
The Lost Princess of Oz,L. Frank Baum,1917,fantasy,http://covers.openlibrary.org/b/id/854819-L.jpg,book_covers\14_The_Lost_Princess_of_Oz.jpg,14,"rgb(121, 130, 128)","The Lost Princess of Oz L. Frank Baum fantasy 1917 rgb(121, 130, 128)"
The Story of the Amulet,Edith Nesbit,1905,fantasy,http://covers.openlibrary.org/b/id/13241470-L.jpg,book_covers\15_The_Story_of_the_Amulet.jpg,15,"rgb(128, 36, 37)","The Story of the Amulet Edith Nesbit fantasy 1905 rgb(128, 36, 37)"
The Complete Life and Adventures of Santa Claus,L. Frank Baum,1902,fantasy,http://covers.openlibrary.org/b/id/1979059-L.jpg,book_covers\16_The_Complete_Life_and_Adventures_of_Santa_Claus.jpg,16,"rgb(28, 24, 17)","The Complete Life and Adventures of Santa Claus L. Frank Baum fantasy 1902 rgb(28, 24, 17)"
The Road to Oz,L. Frank Baum,1909,fantasy,http://covers.openlibrary.org/b/id/8243922-L.jpg,book_covers\17_The_Road_to_Oz.jpg,17,"rgb(177, 174, 151)","The Road to Oz L. Frank Baum fantasy 1909 rgb(177, 174, 151)"
The Sea Fairies,L. Frank Baum,1911,fantasy,http://covers.openlibrary.org/b/id/1814237-L.jpg,book_covers\18_The_Sea_Fairies.jpg,18,"rgb(188, 161, 120)","The Sea Fairies L. Frank Baum fantasy 1911 rgb(188, 161, 120)"
Baum's American Fairy Tales,L. Frank Baum,1901,fantasy,http://covers.openlibrary.org/b/id/709869-L.jpg,book_covers\19_Baum's_American_Fairy_Tales.jpg,19,"rgb(163, 136, 141)","Baum's American Fairy Tales L. Frank Baum fantasy 1901 rgb(163, 136, 141)"
Sky Island,L. Frank Baum,1912,fantasy,http://covers.openlibrary.org/b/id/2752804-L.jpg,book_covers\20_Sky_Island.jpg,20,"rgb(128, 77, 34)","Sky Island L. Frank Baum fantasy 1912 rgb(128, 77, 34)"
The Scarecrow of Oz,L. Frank Baum,1915,fantasy,http://covers.openlibrary.org/b/id/431586-L.jpg,book_covers\21_The_Scarecrow_of_Oz.jpg,21,"rgb(141, 136, 47)","The Scarecrow of Oz L. Frank Baum fantasy 1915 rgb(141, 136, 47)"
The Patchwork Girl of Oz,L. Frank Baum,1913,fantasy,http://covers.openlibrary.org/b/id/1473369-L.jpg,book_covers\22_The_Patchwork_Girl_of_Oz.jpg,22,"rgb(163, 107, 69)","The Patchwork Girl of Oz L. Frank Baum fantasy 1913 rgb(163, 107, 69)"
The Magic of Oz,L. Frank Baum,1919,fantasy,http://covers.openlibrary.org/b/id/5071176-L.jpg,book_covers\23_The_Magic_of_Oz.jpg,23,"rgb(201, 146, 114)","The Magic of Oz L. Frank Baum fantasy 1919 rgb(201, 146, 114)"
